Prueba ,Efic,Presión,F(GPM),% SólidosA,% Agua A  ,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Solidos t/h - O,Agua t/h -O,Solidos t/h - U,Agua t/h - U,D50c  ,Alfa  ,Vi (m/s),Vθt (m/s),Do/Dc  ,Du/Dc,Di/Dc ,Lc/Dc ,Dc ^2 ,pp (ton/m3) ,ps (ton/m3)  ,fv ,Vh/Vt,um(Kg/m.s)  ,Re  ,1/Tan(teta)  ,Cos(i/2)  ,(ps-pf)/pf ,(ps-pp)/ps,raiz(P/pp) ,1/tan(teta/2)),(Vt^2)/gRmax ,Cos (i/180) ,um/uw  
2,33.10,3,17.37,28.4,71.6,3.94,4.73,1.34,3.39,0.83,3.07,0.51,0.32,149.77,3.335498517,0.54,1.11,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,45389.29633,5.14,0.71,1.17,0.54,1.33,10.39, 2.463 ,1,1.444
3,37.85,3,18.14,20.8,79.2,4.11,4.73,0.98,3.75,0.62,3.54,0.36,0.21,117.42,3.335498517,0.56,1.16,0.3595,0.11,0.5,4.5625,0.01032256,1.15,2.6,0.09,0.56,1.29E-03,51134.56994,5.14,0.71,1.26,0.56,1.35,10.39, 2.681 ,1,1.282
12,54.72,3,17.21,25.76,74.24,3.9,4.64,1.2,3.44,0.6,3.09,0.6,0.35,102.21,3.335498517,0.53,1.10,0.3595,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,46296.49177,5.14,0.71,1.19,0.54,1.33,10.39, 2.414 ,1,1.389
14,68.17,3,21.58,5.8,94.2,4.89,5.04,0.29,4.75,0.08,4.48,0.21,0.27,56.83,3.335498517,0.67,1.38,0.3595,0.11,0.5,4.5625,0.01032256,1.03,2.6,0.02,0.87,1.07E-03,65887.83241,5.14,0.71,1.52,0.60,1.43,10.39, 3.795 ,1,1.060
20,44.29,3,17.23,30,70,3.91,4.77,1.43,3.34,0.82,3.01,0.61,0.33,131.05,3.335498517,0.54,1.10,0.3595,0.11,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.41,1.50E-03,44351.55052,5.14,0.71,1.13,0.53,1.31,10.39, 2.426 ,1,1.490
1,34.28,3.5,18.29,27.47,72.53,4.15,4.98,1.37,3.61,0.82,3.27,0.53,0.36,147.65,3.335498517,0.57,1.17,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,48370.82912,5.14,0.71,1.17,0.54,1.43,10.39, 2.733 ,1,1.426
9,50.39,3.5,19.07,25.5,74.5,4.33,5.15,1.31,3.84,0.74,3.5,0.57,0.34,116.08,3.335498517,0.59,1.22,0.3595,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,51700.05414,5.14,0.71,1.19,0.54,1.44,10.39, 2.975 ,1,1.380
11,47.22,3.5,18.25,28.1,71.9,4.14,4.97,1.4,3.57,0.82,3.26,0.58,0.31,134.11,3.335498517,0.57,1.17,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,47804.9893,5.14,0.71,1.17,0.54,1.43,10.39, 2.720 ,1,1.440
15,80.80,3.5,20.95,15.4,84.6,4.75,5.23,0.81,4.42,0.07,3.98,0.73,0.45,28.4,3.335498517,0.65,1.34,0.3595,0.11,0.5,4.5625,0.01032256,1.10,2.6,0.07,0.66,1.20E-03,60931.67514,5.14,0.71,1.36,0.58,1.49,10.39, 3.580 ,1,1.189
19,41.54,3.5,17.71,33.5,66.5,4.02,5.11,1.71,3.4,1.06,3.03,0.65,0.37,218.11,3.335498517,0.55,1.13,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.16,0.35,1.62E-03,44035.09016,5.14,0.71,1.05,0.51,1.39,10.39, 2.565 ,1,1.608
6,86.73,4,25.37,8.9,91.1,5.75,6.04,0.54,5.5,0.09,5.18,0.45,0.32,30,3.335498517,0.79,1.62,0.3595,0.11,0.5,4.5625,0.01032256,1.05,2.6,0.04,0.80,1.10E-03,76249.63342,5.14,0.71,1.48,0.60,1.64,10.39, 5.247 ,1,1.098
10,60.46,4,19.8,27.4,72.6,4.49,5.39,1.48,3.91,0.6,3.41,0.88,0.5,88.4,3.335498517,0.62,1.27,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,52384.76466,5.14,0.71,1.17,0.54,1.53,10.39, 3.199 ,1,1.426
13,75.57,4,20.9,22.1,77.9,4.74,5.5,1.22,4.28,0.25,3.68,0.97,0.6,30,3.335498517,0.65,1.34,0.3595,0.11,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.54,1.32E-03,58192.74364,5.14,0.71,1.24,0.55,1.56,10.39, 3.565 ,1,1.309
21,46.07,4,19.33,28.6,71.4,4.38,5.34,1.53,3.81,0.86,3.42,0.67,0.39,153.89,3.335498517,0.60,1.23,0.3595,0.11,0.5,4.5625,0.01032256,1.22,2.6,0.13,0.43,1.47E-03,50668.67172,5.14,0.71,1.13,0.53,1.52,10.39, 3.044 ,1,1.460
8,34.20,5,19.95,34.1,65.9,4.52,5.74,1.96,3.78,1.28,3.42,0.68,0.36,203.57,3.335498517,0.62,1.27,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.35,1.63E-03,48931.7185,5.14,0.71,1.05,0.51,1.66,10.39, 3.242 ,1,1.625
18,31.96,5,20.51,33.8,66.2,4.65,5.91,2,3.91,1.3,3.47,0.7,0.44,200.09,3.335498517,0.64,1.31,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.35,1.63E-03,50614.42942,5.14,0.71,1.05,0.51,1.66,10.39, 3.431 ,1,1.618
24,29.42,5,20.63,31.4,68.6,4.68,5.76,1.81,3.95,1.22,3.68,0.59,0.27,30,3.335498517,0.64,1.32,0.3595,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.39,1.54E-03,52162.76784,5.14,0.71,1.11,0.53,1.69,10.39, 3.476 ,1,1.530
7,25.02,6,22.19,34.2,65.8,5.03,6.39,2.19,4.2,1.62,3.89,0.58,0.3,30,3.335498517,0.69,1.42,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.34,1.64E-03,54346.75705,5.14,0.71,1.05,0.51,1.82,10.39, 4.015 ,1,1.629
17,36.12,6,23.27,33.6,66.4,5.28,6.71,2.25,4.46,1.48,4.21,0.77,0.25,286.83,3.335498517,0.72,1.49,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.16,0.35,1.62E-03,57765.349,5.14,0.71,1.05,0.51,1.82,10.39, 4.424 ,1,1.609
4,78.35,6.5,31,12,88,7.03,7.59,0.91,6.68,0.21,6.18,0.7,0.5,40.82,3.335498517,0.96,1.98,0.3595,0.11,0.5,4.5625,0.01032256,1.08,2.6,0.05,0.73,1.14E-03,92363.30115,5.14,0.71,1.41,0.58,2.06,10.39, 7.843 ,1,1.139
22,20.00,7,25.9,28.3,71.7,5.87,7.04,1.99,5.05,1.59,4.82,0.4,0.23,136.77,3.335498517,0.80,1.65,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,67645.88683,5.14,0.71,1.17,0.54,2.03,10.39, 5.468 ,1,1.442
5,79.31,7,32.73,11.2,88.8,7.42,8.01,0.9,7.11,0.12,6.68,0.78,0.43,30,3.335498517,1.02,2.09,0.3595,0.11,0.5,4.5625,0.01032256,1.08,2.6,0.05,0.75,1.13E-03,98306.27069,5.14,0.71,1.41,0.58,2.14,10.39, 8.737 ,1,1.129
16,26.92,7.5,25.23,34.6,65.4,5.72,7.26,2.51,4.75,1.8,4.34,0.71,0.41,30,3.335498517,0.78,1.61,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.34,1.64E-03,61467.83273,5.14,0.71,1.05,0.51,2.04,10.39, 5.192 ,1,1.636
23,5.62,10.5,32.69,27.3,72.7,7.41,8.89,2.43,6.46,2.41,6.45,0.02,0.01,30,3.335498517,1.02,2.09,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,86576.99807,5.14,0.71,1.17,0.54,2.48,10.39, 8.713 ,1,1.423
25,52.69857143,6.5,25.18,28.4,71.6,5.71,6.85,1.95,4.90,0.92,4.31,1.03,0.59,111.93,4.33,0.78,1.61,0.3595,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,65620.4308,5.14,0.71,1.17,0.54,1.95,10.39, 5.174 ,1,1.446
26,53.03714286,6,24.52,26.5,73.5,5.56,6.62,1.75,4.87,0.79,4.09,0.96,0.78,108.50,4.33,0.76,1.57,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.41E-03,65499.29743,5.14,0.71,1.18,0.54,1.88,10.39, 4.906 ,1,1.400
27,56.39428571,8.5,29.43,28.1,71.9,6.67,8.00,2.25,5.75,0.97,5.01,1.28,0.74,98.74,4.33,0.91,1.88,0.3595,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,77027.6828,5.14,0.71,1.17,0.54,2.23,10.39, 7.060 ,1,1.439
28,56.10857143,9,31.19,26.1,73.9,7.07,8.41,2.2,6.21,1.08,5.57,1.12,0.64,99.92,4.33,0.97,1.99,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,83565.45811,5.14,0.71,1.19,0.54,2.31,10.39, 7.932 ,1,1.394
29,55.25571429,6,25.1,27.1,72.9,5.69,6.83,1.85,4.98,0.84,4.34,1.01,0.64,103.39,4.33,0.78,1.60,0.3595,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.42E-03,66740.51004,5.14,0.71,1.17,0.54,1.87,10.39, 5.138 ,1,1.418
30,58.27,5,23.13,26.2,73.8,5.25,6.25,1.64,4.61,0.71,4.06,0.93,0.55,94.17,4.33,0.72,1.48,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,62013.45646,5.14,0.71,1.18,0.54,1.72,10.39, 4.374 ,1,1.396
31,58.32,4,20,26.2,73.8,4.54,5.40,1.41,3.99,0.61,3.49,0.81,0.5,94.01,4.33,0.62,1.28,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,53695.22257,5.14,0.71,1.19,0.54,1.54,10.39, 3.271 ,1,1.393
32,55.04,3,18.75,26.8,73.2,4.25,5.06,1.36,3.70,0.63,3.25,0.73,0.45,104.29,4.33,0.58,1.20,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.42E-03,49750.61215,5.14,0.71,1.18,0.54,1.33,10.39, 2.866 ,1,1.409
33,59.13,2,16.54,26.5,73.5,3.75,4.46,1.18,3.28,0.5,2.89,0.68,0.39,91.93,4.33,0.51,1.06,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.41E-03,44132.2245,5.14,0.71,1.19,0.54,1.09,10.39, 2.232 ,1,1.400
34,74.82,6.5,27.56,22.5,77.5,6.25,7.25,1.63,5.62,0.42,4.92,1.21,0.7,55.24,4.33,0.86,1.76,0.3595,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.53,1.32E-03,76408.99,5.14,0.71,1.24,0.55,1.98,10.39, 6.199 ,1,1.315
35,64.53,5,24.16,23.5,76.5,5.48,6.36,1.49,4.87,0.6,4.36,0.89,0.51,74.1,4.33,0.75,1.54,0.3595,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,66177.73556,5.14,0.71,1.24,0.55,1.74,10.39, 4.766 ,1,1.332
36,62.48,4.5,22.54,23.2,76.8,5.11,5.93,1.38,4.55,0.57,4.08,0.81,0.47,78.53,4.33,0.70,1.44,0.3595,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,61834.75716,5.14,0.71,1.24,0.55,1.65,10.39, 4.144 ,1,1.329
37,39.79,5,22.58,38,62,5.12,6.66,2.53,4.13,1.59,3.63,0.94,0.5,190.84,4.33,0.70,1.44,0.3595,0.14,0.5,4.5625,0.01032256,1.30,2.6,0.19,0.30,1.77E-03,52319.7143,5.14,0.71,1.00,0.50,1.64,10.39, 4.160 ,1,1.764
38,39.52,4.5,18.32,37.9,62.1,4.15,5.40,2.05,3.35,1.29,2.95,0.75,0.41,192.43,4.33,0.57,1.17,0.3595,0.14,0.5,4.5625,0.01032256,1.30,2.6,0.19,0.30,1.77E-03,42431.07938,5.14,0.71,1.00,0.50,1.56,10.39, 2.733 ,1,1.763
39,44.34,3,15.32,37.6,62.4,3.47,4.51,1.7,2.81,1.19,2.86,0.85,0.49,153.53,4.33,0.48,0.98,0.3595,0.14,0.5,4.5625,0.01032256,1.30,2.6,0.19,0.30,1.76E-03,35637.59219,5.14,0.71,1.00,0.50,1.27,10.39, 1.911 ,1,1.753
40,70.34,10,32.1,20.6,79.4,7.28,8.37,1.72,6.65,0.4,5.88,1.32,0.77,75.07,4.33,1.00,2.05,0.3595,0.14,0.5,4.5625,0.01032256,1.15,2.6,0.09,0.56,1.28E-03,90708.08763,5.14,0.71,1.26,0.56,2.47,10.39, 8.410 ,1,1.278
41,70.46,6,25.94,20.8,79.2,5.88,6.76,1.41,5.35,0.5,4.83,0.91,0.52,65.89,4.33,0.81,1.66,0.3595,0.14,0.5,4.5625,0.01032256,1.15,2.6,0.09,0.56,1.29E-03,72968.71652,5.14,0.71,1.26,0.56,1.92,10.39, 5.487 ,1,1.284
42,70.51,5,23.07,19.2,80.8,5.23,5.96,1.14,4.82,0.45,4.39,0.69,0.43,64.6,4.33,0.72,1.47,0.3595,0.14,0.5,4.5625,0.01032256,1.14,2.6,0.08,0.59,1.26E-03,65926.11767,5.14,0.71,1.28,0.56,1.76,10.39, 4.341 ,1,1.253
43,83.00,3,18.47,20.1,79.9,4.19,4.78,0.96,3.82,0.23,3.38,0.73,0.44,34.55,4.33,0.57,1.18,0.3595,0.14,0.5,4.5625,0.01032256,1.14,2.6,0.09,0.57,1.27E-03,52219.93991,5.14,0.71,1.28,0.56,1.36,10.39, 2.786 ,1,1.268
44,74.25,2.5,16.53,19.5,80.5,3.75,4.28,0.83,3.45,0.16,3.06,0.67,0.39,61.07,4.33,0.51,1.06,0.3595,0.14,0.5,4.5625,0.01032256,1.14,2.6,0.09,0.59,1.26E-03,47166.15834,5.14,0.71,1.28,0.56,1.24,10.39, 2.232 ,1,1.257
45,41.67,7.5,26.39,32.5,67.5,5.99,7.49,2.43,5.06,1.51,4.57,0.92,0.49,166.54,4.33,0.82,1.69,0.3595,0.14,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.37,1.58E-03,66212.79388,5.14,0.71,1.08,0.52,2.05,10.39, 5.694 ,1,1.567
46,47.83,6,23.69,32,68,5.37,6.71,2.15,4.56,1.18,4.04,0.97,0.52,131.35,4.33,0.74,1.51,0.3595,0.14,0.5,4.5625,0.01032256,1.25,2.6,0.15,0.38,1.56E-03,59722.18775,5.14,0.71,1.08,0.52,1.84,10.39, 4.576 ,1,1.557
47,51.19,4.5,20.27,30.1,69.9,4.6,5.61,1.69,3.92,0.96,3.53,0.73,0.39,117.3,4.33,0.63,1.30,0.3595,0.14,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.41,1.50E-03,52054.07878,5.14,0.71,1.13,0.53,1.61,10.39, 3.358 ,1,1.493
48,55.25,3,16.63,30.9,69.1,3.77,4.64,1.43,3.21,0.7,2.79,0.73,0.42,102.1,4.33,0.52,1.06,0.3595,0.14,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.40,1.52E-03,42416.25399,5.14,0.71,1.11,0.53,1.31,10.39, 2.255 ,1,1.516
49,58.04428571,2.5,14.98,31.8,68.2,3.4,4.25,1.35,2.90,0.63,2.52,0.72,0.38,95.35,4.33,0.47,0.96,0.3595,0.14,0.5,4.5625,0.01032256,1.25,2.6,0.15,0.38,1.56E-03,37987.48883,5.14,0.71,1.08,0.52,1.19,10.39, 1.834 ,1,1.550
50,67.00714286,8,29.49,24.1,75.9,6.69,7.89,1.9,5.99,0.74,5.37,1.16,0.62,71.75,4.33,0.92,1.89,0.3595,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.36E-03,80950.96021,5.14,0.71,1.20,0.55,2.18,10.39, 7.102 ,1,1.350
51,72.51285714,7,28.94,21.9,78.1,6.56,7.54,1.65,5.89,0.54,5.28,1.11,0.61,61.05,4.33,0.90,1.85,0.3595,0.14,0.5,4.5625,0.01032256,1.15,2.6,0.10,0.54,1.31E-03,80312.48061,5.14,0.71,1.26,0.56,2.07,10.39, 6.829 ,1,1.301
52,57.94857143,5.5,24.87,23.1,76.9,5.64,6.54,1.51,5.03,0.63,4.56,0.88,0.47,98.32,4.33,0.77,1.59,0.3595,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.33E-03,68378.97726,5.14,0.71,1.24,0.55,1.83,10.39, 5.048 ,1,1.325
53,59.66142857,5,23.61,24.7,75.3,5.35,6.31,1.56,4.75,0.76,4.32,0.8,0.43,90.5,4.33,0.73,1.51,0.3595,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.37E-03,64168.16822,5.14,0.71,1.20,0.55,1.73,10.39, 4.542 ,1,1.362
54,64.04142857,10,35.11,30.4,69.6,7.96,9.79,2.98,6.81,1.02,5.82,1.96,0.99,79.2,2.521983701,1.09,2.24,0.3595,0.2125,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,90050.98754,5.14,0.71,1.11,0.53,2.39,10.39, 10.055 ,1,1.506
55,64.76,10,30.72,30.2,69.8,6.97,8.57,2.59,5.98,0.9,5.12,1.69,0.86,78.5,2.521983701,0.96,1.96,0.3595,0.2125,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,79103.66595,5.14,0.71,1.11,0.53,2.39,10.39, 7.709 ,1,1.501
56,77.92857143,7,25.88,29,71,5.87,7.16,2.08,5.08,0.43,4.18,1.65,0.9,48.79,2.521983701,0.80,1.65,0.3595,0.2125,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.42,1.48E-03,67518.82354,5.14,0.71,1.13,0.53,2.01,10.39, 5.468 ,1,1.469
57,81.03,7.5,27.49,28.4,71.6,6.23,7.48,2.12,5.36,0.38,4.43,1.74,0.93,37.98,2.521983701,0.85,1.76,0.3595,0.2125,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,71762.03022,5.14,0.71,1.17,0.54,2.10,10.39, 6.159 ,1,1.444
58,84.85285714,5.5,23.32,27.8,72.2,5.29,6.35,1.77,4.58,0.26,3.79,1.5,0.8,21.96,2.521983701,0.72,1.49,0.3595,0.2125,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.44E-03,61344.38847,5.14,0.71,1.17,0.54,1.79,10.39, 4.441 ,1,1.434
59,89.95285714,3.5,19.58,24.8,75.2,4.44,5.24,1.3,3.94,0.17,3.34,1.13,0.6,33.08,2.521983701,0.61,1.25,0.3595,0.2125,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.37E-03,53211.74198,5.14,0.71,1.20,0.55,1.44,10.39, 3.128 ,1,1.364
60,90.39714286,2.5,16.48,25.7,74.3,3.74,4.45,1.14,3.31,0.14,2.74,1,0.57,32.99,2.521983701,0.51,1.05,0.3595,0.2125,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,44552.75642,5.14,0.71,1.19,0.54,1.22,10.39, 2.220 ,1,1.384
61,90.38714286,2.5,15.65,26.7,73.3,3.55,4.22,1.13,3.09,0.13,2.56,1,0.53,32.83,2.521983701,0.49,1.00,0.3595,0.2125,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.41E-03,41575.77781,5.14,0.71,1.19,0.54,1.22,10.39, 2.000 ,1,1.406
62,84.72428571,9,32.47,23.9,76.1,7.36,8.68,2.07,6.61,0.39,5.7,1.69,0.9,22.71,2.521983701,1.01,2.07,0.3595,0.2125,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.51,1.35E-03,89342.94769,5.14,0.71,1.20,0.55,2.32,10.39, 8.596 ,1,1.346
63,69.8,5,21.96,33.3,66.7,4.98,6.23,2.07,4.16,0.51,3.26,1.56,0.9,68.89,2.521983701,0.68,1.40,0.3595,0.2125,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.36,1.60E-03,54369.11176,5.14,0.71,1.08,0.52,1.68,10.39, 3.936 ,1,1.588
64,69.20571429,7.5,26.24,32.2,67.8,5.95,7.44,2.4,5.04,0.64,4.12,1.75,0.93,66.92,2.521983701,0.82,1.68,0.3595,0.2125,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.37,1.57E-03,65966.50808,5.14,0.71,1.08,0.52,2.05,10.39, 5.618 ,1,1.563
65,76.20714286,9.5,30.45,28.7,71.3,6.91,8.43,2.42,6.01,0.51,4.96,1.91,1.05,49.27,2.521983701,0.95,1.95,0.3595,0.2125,0.5,4.5625,0.01032256,1.22,2.6,0.13,0.43,1.47E-03,79899.63419,5.14,0.71,1.13,0.53,2.34,10.39, 7.577 ,1,1.462
66,48.40571429,14,35.23,33.7,66.3,7.99,10.15,3.42,6.73,1.57,5.79,1.85,0.94,125.75,2.521983701,1.10,2.25,0.3595,0.2125,0.5,4.5625,0.01032256,1.27,2.6,0.16,0.35,1.62E-03,87163.02068,5.14,0.71,1.05,0.51,2.78,10.39, 10.131 ,1,1.613
67,65.28571429,14.5,39.76,25.4,74.6,9.02,10.73,2.73,8.00,0.59,6.92,2.14,1.08,77.76,2.521983701,1.24,2.54,0.3595,0.2125,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,107701.4686,5.14,0.71,1.19,0.54,2.93,10.39, 12.911 ,1,1.380
68,78.35,14,39.33,25.7,74.3,8.92,10.61,2.73,7.88,0.45,6.63,2.28,1.25,48.99,2.521983701,1.22,2.51,0.3595,0.2125,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,106069.516,5.14,0.71,1.19,0.54,2.88,10.39, 12.627 ,1,1.386
69,84.72,9,32.3,23.6,76.4,7.33,8.50,2.01,6.49,0.29,5.59,1.72,0.9,28.82,2.521983701,1.00,2.07,0.3595,0.2125,0.5,4.5625,0.01032256,1.16,2.6,0.11,0.51,1.34E-03,88208.09904,5.14,0.71,1.24,0.55,2.34,10.39, 8.526 ,1,1.335
70,90.62285714,7,29.6,20.8,79.2,6.71,7.72,1.61,6.11,0.18,5.35,1.43,0.76,2.00,2.521983701,0.92,1.89,0.3595,0.2125,0.5,4.5625,0.01032256,1.15,2.6,0.09,0.56,1.29E-03,83317.53956,5.14,0.71,1.26,0.56,2.07,10.39, 7.145 ,1,1.284
71,59.5125,6.5,20.42,40.5,59.5,4.63,6.16,2.49,3.67,1.73,3.25,0.76,0.42,300,3.9689398,0.63,1.30,0.2425,0.11,0.5,4.5625,0.01032256,1.33,2.6,0.21,0.26,1.89E-03,45494.15494,5.14,0.71,0.95,0.49,1.85,10.39, 3.402 ,1,1.876
72,58.96625,4,16.72,38.4,61.6,3.79,5.00,1.92,3.08,1.35,2.79,0.57,0.29,300,3.9689398,0.52,1.07,0.2425,0.11,0.5,4.5625,0.01032256,1.32,2.6,0.19,0.29,1.80E-03,38602.76678,5.14,0.71,0.97,0.49,1.46,10.39, 2.279 ,1,1.795
73,20.1717784,5,19.45,36.4,63.6,4.41,5.64,2.05,3.59,1.43,3.26,0.62,0.33,300.22,3.9689398,0.60,1.24,0.2425,0.11,0.5,4.5625,0.01032256,1.28,2.6,0.18,0.32,1.70E-03,46119.00344,5.14,0.71,1.03,0.51,1.66,10.39, 3.086 ,1,1.694
